epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.0594,1.15728,0.88571,1,0.23507,0.0002345,0.0002345,0.0002345
2,80.4521,0.44886,0.94286,1,0.09616,0.000425722,0.000425722,0.000425722
3,114.085,0.35498,0.97143,1,0.04105,0.000569821,0.000569821,0.000569821
4,149.377,0.27,0.97143,1,0.0474,0.000501942,0.000501942,0.000501942
5,182.745,0.281,0.97143,1,0.03005,0.000431256,0.000431256,0.000431256
6,213.84,0.29332,1,1,0.05582,0.00036057,0.00036057,0.00036057
7,247.2,0.2333,1,1,0.01402,0.000289884,0.000289884,0.000289884
8,278.875,0.23665,1,1,0.02879,0.000219198,0.000219198,0.000219198
9,312.351,0.1744,1,1,0.01951,0.000148512,0.000148512,0.000148512
10,344.358,0.19455,1,1,0.0098,7.7826e-05,7.7826e-05,7.7826e-05
